,BATRK
2019-11-27,28.020000457763672
2019-11-29,28.299999237060547
2019-12-02,27.579999923706055
2019-12-03,27.200000762939453
2019-12-04,27.59000015258789
2019-12-05,28.1299991607666
2019-12-06,28.65999984741211
2019-12-09,28.719999313354492
2019-12-10,28.860000610351562
2019-12-11,29.1200008392334
2019-12-12,29.040000915527344
2019-12-13,29.100000381469727
2019-12-16,29.40999984741211
2019-12-17,29.760000228881836
2019-12-18,29.719999313354492
2019-12-19,29.899999618530273
2019-12-20,29.700000762939453
2019-12-23,29.719999313354492
2019-12-24,29.56999969482422
2019-12-26,29.739999771118164
2019-12-27,29.639999389648438
2019-12-30,29.59000015258789
2019-12-31,29.540000915527344
