,BAB
2020-07-02,32.95000076293945
2020-07-06,32.869998931884766
2020-07-07,33.029998779296875
2020-07-08,33.029998779296875
2020-07-09,33.25
2020-07-10,33.119998931884766
2020-07-13,33.189998626708984
2020-07-14,33.25
2020-07-15,33.16999816894531
2020-07-16,33.2599983215332
2020-07-17,33.209999084472656
2020-07-20,33.220001220703125
2020-07-21,33.16999816894531
2020-07-22,33.279998779296875
2020-07-23,33.349998474121094
2020-07-24,33.43000030517578
2020-07-27,33.34000015258789
2020-07-28,33.47999954223633
2020-07-29,33.439998626708984
2020-07-30,33.59000015258789
2020-07-31,33.58000183105469
2020-08-03,33.56999969482422
