,EQRR
2020-10-07,29.94099998474121
2020-10-08,30.829999923706055
2020-10-09,31.40999984741211
2020-10-12,31.40999984741211
2020-10-13,31.40999984741211
2020-10-14,31.0
2020-10-15,30.6299991607666
2020-10-16,31.15999984741211
2020-10-19,30.989999771118164
2020-10-20,30.860000610351562
2020-10-21,30.429000854492188
2020-10-22,31.25
2020-10-23,31.559999465942383
2020-10-26,30.25
2020-10-27,29.75
2020-10-28,28.809999465942383
2020-10-29,28.809999465942383
2020-10-30,29.25
2020-11-02,29.969999313354492
2020-11-03,29.969999313354492
2020-11-04,29.969999313354492
2020-11-05,29.969999313354492
2020-11-06,29.969999313354492
2020-11-09,29.969999313354492
2020-11-10,34.50899887084961
2020-11-11,34.099998474121094
2020-11-12,34.099998474121094
2020-11-13,34.209999084472656
2020-11-16,35.5099983215332
2020-11-17,35.58000183105469
2020-11-18,36.16999816894531
2020-11-19,35.209999084472656
2020-11-20,35.290000915527344
2020-11-23,36.678001403808594
2020-11-24,38.290000915527344
2020-11-25,37.619998931884766
2020-11-27,37.65999984741211
2020-11-30,37.279998779296875
2020-12-01,37.279998779296875
2020-12-02,37.5
2020-12-03,37.71799850463867
2020-12-04,38.88999938964844
2020-12-07,38.560001373291016
2020-12-08,38.689998626708984
2020-12-09,38.77000045776367
2020-12-10,39.060001373291016
2020-12-11,38.63999938964844
2020-12-14,37.849998474121094
2020-12-15,37.849998474121094
2020-12-16,37.849998474121094
2020-12-17,38.540000915527344
2020-12-18,38.34000015258789
2020-12-21,38.01300048828125
2020-12-22,37.65999984741211
2020-12-23,37.65999984741211
2020-12-24,37.65999984741211
2020-12-28,37.88999938964844
2020-12-29,37.88999938964844
2020-12-30,38.209999084472656
2020-12-31,38.04999923706055
2021-01-04,38.380001068115234
2021-01-05,38.79800033569336
2021-01-06,38.79800033569336
2021-01-07,38.79800033569336
2021-01-08,38.79800033569336
2021-01-11,41.15999984741211
2021-01-12,42.0099983215332
2021-01-13,41.5
2021-01-14,42.45000076293945
2021-01-15,41.459999084472656
2021-01-19,41.900001525878906
2021-01-20,41.66999816894531
2021-01-21,40.88999938964844
2021-01-22,40.814998626708984
2021-01-25,40.347999572753906
2021-01-26,39.821998596191406
2021-01-27,39.821998596191406
2021-01-28,39.4010009765625
2021-01-29,38.400001525878906
2021-02-01,38.957000732421875
2021-02-02,39.7140007019043
2021-02-03,40.400001525878906
2021-02-04,40.400001525878906
2021-02-05,40.400001525878906
2021-02-08,42.220001220703125
2021-02-09,42.06999969482422
2021-02-10,42.06999969482422
2021-02-11,41.99300003051758
2021-02-12,42.47999954223633
2021-02-16,43.36000061035156
2021-02-17,43.060001373291016
2021-02-18,43.060001373291016
2021-02-19,43.060001373291016
2021-02-22,44.439998626708984
2021-02-23,44.64099884033203
2021-02-24,45.84000015258789
2021-02-25,44.64099884033203
2021-02-26,43.93000030517578
2021-03-01,45.18600082397461
2021-03-02,45.029998779296875
2021-03-03,45.349998474121094
2021-03-04,45.220001220703125
2021-03-05,46.119998931884766
2021-03-08,46.48899841308594
2021-03-09,46.0
2021-03-10,46.79999923706055
2021-03-11,47.0
2021-03-12,47.36000061035156
2021-03-15,47.00400161743164
2021-03-16,46.1609992980957
2021-03-17,46.63100051879883
2021-03-18,46.08100128173828
2021-03-19,45.89500045776367
2021-03-22,45.45000076293945
2021-03-23,44.17300033569336
2021-03-24,44.810001373291016
2021-03-25,45.38399887084961
2021-03-26,46.439998626708984
2021-03-29,45.6609992980957
2021-03-30,45.92300033569336
2021-03-31,45.770999908447266
2021-04-01,46.27000045776367
2021-04-05,46.39099884033203
2021-04-06,46.2859992980957
2021-04-07,46.17599868774414
